imageA,imageB,label,dogA,dogB
A_ccDFRJJgbtIAAAAAAAAAAAAAAQAAAQ.jpg,A_BTGhRL3hvxwAAAAAAAAAAAAAAQAAAQ.jpg,1,0,0
A_ccDFRJJgbtIAAAAAAAAAAAAAAQAAAQ.jpg,A_VSe4QrbJjMcAAAAAAAAAAAAAAQAAAQ.jpg,1,0,0
A_ccDFRJJgbtIAAAAAAAAAAAAAAQAAAQ.jpg,A_ARs4S5uu-scAAAAAAAAAAAAAAQAAAQ.jpg,1,0,0
A_BTGhRL3hvxwAAAAAAAAAAAAAAQAAAQ.jpg,A_VSe4QrbJjMcAAAAAAAAAAAAAAQAAAQ.jpg,1,0,0
A_BTGhRL3hvxwAAAAAAAAAAAAAAQAAAQ.jpg,A_ARs4S5uu-scAAAAAAAAAAAAAAQAAAQ.jpg,1,0,0
A_VSe4QrbJjMcAAAAAAAAAAAAAAQAAAQ.jpg,A_ARs4S5uu-scAAAAAAAAAAAAAAQAAAQ.jpg,1,0,0
A_xNCNSreklsIAAAAAAAAAAAAAAQAAAQ.jpg,A_gBw2Q6_QWsUAAAAAAAAAAAAAAQAAAQ.jpg,1,1,1
A_xNCNSreklsIAAAAAAAAAAAAAAQAAAQ.jpg,A_l_WDRZSqqCQAAAAAAAAAAAAAAQAAAQ.jpg,1,1,1
A_xNCNSreklsIAAAAAAAAAAAAAAQAAAQ.jpg,A_kiLeTKqEGUkAAAAAAAAAAAAAAQAAAQ.jpg,1,1,1
A_gBw2Q6_QWsUAAAAAAAAAAAAAAQAAAQ.jpg,A_l_WDRZSqqCQAAAAAAAAAAAAAAQAAAQ.jpg,1,1,1
A_gBw2Q6_QWsUAAAAAAAAAAAAAAQAAAQ.jpg,A_kiLeTKqEGUkAAAAAAAAAAAAAAQAAAQ.jpg,1,1,1
A_l_WDRZSqqCQAAAAAAAAAAAAAAQAAAQ.jpg,A_kiLeTKqEGUkAAAAAAAAAAAAAAQAAAQ.jpg,1,1,1
A_rGSuTZXVuRUGn2pDh9p9vgAAAQAAAQ.jpg,A_rGSuTZXVuRUAAAAAAAAAAAAAAQAAAQ.jpg,1,2,2
A_rGSuTZXVuRUGn2pDh9p9vgAAAQAAAQ.jpg,A_wOfbQoNWSAQAAAAAAAAAAAAAAQAAAQ.jpg,1,2,2
A_rGSuTZXVuRUGn2pDh9p9vgAAAQAAAQ.jpg,A_7OgCTLT7J9AAAAAAAAAAAAAAAQAAAQ.jpg,1,2,2
A_rGSuTZXVuRUAAAAAAAAAAAAAAQAAAQ.jpg,A_wOfbQoNWSAQAAAAAAAAAAAAAAQAAAQ.jpg,1,2,2
A_rGSuTZXVuRUAAAAAAAAAAAAAAQAAAQ.jpg,A_7OgCTLT7J9AAAAAAAAAAAAAAAQAAAQ.jpg,1,2,2
A_wOfbQoNWSAQAAAAAAAAAAAAAAQAAAQ.jpg,A_7OgCTLT7J9AAAAAAAAAAAAAAAQAAAQ.jpg,1,2,2
A_jXO8TqgUNaEAAAAAAAAAAAAAAQAAAQ.jpg,A_wlP4RZZzpEgAAAAAAAAAAAAAAQAAAQ.jpg,1,3,3
A_jXO8TqgUNaEAAAAAAAAAAAAAAQAAAQ.jpg,A_FSCJRYy3dFwAAAAAAAAAAAAAAQAAAQ.jpg,1,3,3
A_jXO8TqgUNaEAAAAAAAAAAAAAAQAAAQ.jpg,A_hsJDSo4xcbkAAAAAAAAAAAAAAQAAAQ.jpg,1,3,3
A_wlP4RZZzpEgAAAAAAAAAAAAAAQAAAQ.jpg,A_FSCJRYy3dFwAAAAAAAAAAAAAAQAAAQ.jpg,1,3,3
A_wlP4RZZzpEgAAAAAAAAAAAAAAQAAAQ.jpg,A_hsJDSo4xcbkAAAAAAAAAAAAAAQAAAQ.jpg,1,3,3
A_FSCJRYy3dFwAAAAAAAAAAAAAAQAAAQ.jpg,A_hsJDSo4xcbkAAAAAAAAAAAAAAQAAAQ.jpg,1,3,3
cOr4Q-vIToudfDTJK_hYsQAAACMAARAD.jpg,A_PXxiSIQQDWkAAAAAAAAAAAAAAQAAAQ.jpg,1,4,4
cOr4Q-vIToudfDTJK_hYsQAAACMAARAD.jpg,O4evSscSQOaRanT5DclZ5wAAACMAARAD.jpg,1,4,4
cOr4Q-vIToudfDTJK_hYsQAAACMAARAD.jpg,Fv9FYvAkQc6AGTP11upBrwAAACMAARAD.jpg,1,4,4
A_PXxiSIQQDWkAAAAAAAAAAAAAAQAAAQ.jpg,O4evSscSQOaRanT5DclZ5wAAACMAARAD.jpg,1,4,4
A_PXxiSIQQDWkAAAAAAAAAAAAAAQAAAQ.jpg,Fv9FYvAkQc6AGTP11upBrwAAACMAARAD.jpg,1,4,4
O4evSscSQOaRanT5DclZ5wAAACMAARAD.jpg,Fv9FYvAkQc6AGTP11upBrwAAACMAARAD.jpg,1,4,4
A_pGBkRrTqPD0AAAAAAAAAAAAAAQAAAQ.jpg,A_Aw59RY7js60AAAAAAAAAAAAAAQAAAQ.jpg,1,5,5
A_pGBkRrTqPD0AAAAAAAAAAAAAAQAAAQ.jpg,A_8HNgToSMI-0AAAAAAAAAAAAAAQAAAQ.jpg,1,5,5
A_pGBkRrTqPD0AAAAAAAAAAAAAAQAAAQ.jpg,A_MjewSKBgq9EAAAAAAAAAAAAAAQAAAQ.jpg,1,5,5
A_Aw59RY7js60AAAAAAAAAAAAAAQAAAQ.jpg,A_8HNgToSMI-0AAAAAAAAAAAAAAQAAAQ.jpg,1,5,5
A_Aw59RY7js60AAAAAAAAAAAAAAQAAAQ.jpg,A_MjewSKBgq9EAAAAAAAAAAAAAAQAAAQ.jpg,1,5,5
A_8HNgToSMI-0AAAAAAAAAAAAAAQAAAQ.jpg,A_MjewSKBgq9EAAAAAAAAAAAAAAQAAAQ.jpg,1,5,5
dRX2p0mwRrumfcxLhB9tHAAAACMAARAD.jpg,2iEC5ZrsSa2JpfKnTQbADQAAACMAARAD.jpg,1,6,6
dRX2p0mwRrumfcxLhB9tHAAAACMAARAD.jpg,NHtoXmJsQbC2oYEEvNh-agAAACMAARAD.jpg,1,6,6
dRX2p0mwRrumfcxLhB9tHAAAACMAARAD.jpg,7B--srC_TKKKH1ccdVhHJQAAACMAARAD.jpg,1,6,6
2iEC5ZrsSa2JpfKnTQbADQAAACMAARAD.jpg,NHtoXmJsQbC2oYEEvNh-agAAACMAARAD.jpg,1,6,6
2iEC5ZrsSa2JpfKnTQbADQAAACMAARAD.jpg,7B--srC_TKKKH1ccdVhHJQAAACMAARAD.jpg,1,6,6
NHtoXmJsQbC2oYEEvNh-agAAACMAARAD.jpg,7B--srC_TKKKH1ccdVhHJQAAACMAARAD.jpg,1,6,6
A_kqGGQIlQbEIAAAAAAAAAAAAAAQAAAQ.jpg,A_hwdWQq75_mQAAAAAAAAAAAAAAQAAAQ.jpg,1,7,7
A_kqGGQIlQbEIAAAAAAAAAAAAAAQAAAQ.jpg,A_PLpYQbchnYsAAAAAAAAAAAAAAQAAAQ.jpg,1,7,7
A_kqGGQIlQbEIAAAAAAAAAAAAAAQAAAQ.jpg,A_6xTOT6mkZzUAAAAAAAAAAAAAAQAAAQ.jpg,1,7,7
A_hwdWQq75_mQAAAAAAAAAAAAAAQAAAQ.jpg,A_PLpYQbchnYsAAAAAAAAAAAAAAQAAAQ.jpg,1,7,7
A_hwdWQq75_mQAAAAAAAAAAAAAAQAAAQ.jpg,A_6xTOT6mkZzUAAAAAAAAAAAAAAQAAAQ.jpg,1,7,7
A_PLpYQbchnYsAAAAAAAAAAAAAAQAAAQ.jpg,A_6xTOT6mkZzUAAAAAAAAAAAAAAQAAAQ.jpg,1,7,7
A_ojwmQZn-s4QAAAAAAAAAAAAAAQAAAQ.jpg,A_wNo8Squ-ZpAAAAAAAAAAAAAAAQAAAQ.jpg,1,8,8
A_ojwmQZn-s4QAAAAAAAAAAAAAAQAAAQ.jpg,A_gleuQrcJ404AAAAAAAAAAAAAAQAAAQ.jpg,1,8,8
A_ojwmQZn-s4QAAAAAAAAAAAAAAQAAAQ.jpg,A_kPvdTbagJ9MAAAAAAAAAAAAAAQAAAQ.jpg,1,8,8
A_wNo8Squ-ZpAAAAAAAAAAAAAAAQAAAQ.jpg,A_gleuQrcJ404AAAAAAAAAAAAAAQAAAQ.jpg,1,8,8
A_wNo8Squ-ZpAAAAAAAAAAAAAAAQAAAQ.jpg,A_kPvdTbagJ9MAAAAAAAAAAAAAAQAAAQ.jpg,1,8,8
A_gleuQrcJ404AAAAAAAAAAAAAAQAAAQ.jpg,A_kPvdTbagJ9MAAAAAAAAAAAAAAQAAAQ.jpg,1,8,8
A_3BuiQbibhO8AAAAAAAAAAAAAAQAAAQ.jpg,A_rsioTJ5AOrcAAAAAAAAAAAAAAQAAAQ.jpg,1,9,9
A_3BuiQbibhO8AAAAAAAAAAAAAAQAAAQ.jpg,A_3hHGTIRrcnwAAAAAAAAAAAAAAQAAAQ.jpg,1,9,9
A_3BuiQbibhO8AAAAAAAAAAAAAAQAAAQ.jpg,A_ErnBQ6DQzEoAAAAAAAAAAAAAAQAAAQ.jpg,1,9,9
A_rsioTJ5AOrcAAAAAAAAAAAAAAQAAAQ.jpg,A_3hHGTIRrcnwAAAAAAAAAAAAAAQAAAQ.jpg,1,9,9
A_rsioTJ5AOrcAAAAAAAAAAAAAAQAAAQ.jpg,A_ErnBQ6DQzEoAAAAAAAAAAAAAAQAAAQ.jpg,1,9,9
A_3hHGTIRrcnwAAAAAAAAAAAAAAQAAAQ.jpg,A_ErnBQ6DQzEoAAAAAAAAAAAAAAQAAAQ.jpg,1,9,9
A_qQf9R5n-NaZuA4BJgsZMVwAAAQAAAQ.jpg,A_OtoGQIQE13QAAAAAAAAAAAAAAQAAAQ.jpg,1,10,10
A_qQf9R5n-NaZuA4BJgsZMVwAAAQAAAQ.jpg,A_846cT62QLOEAAAAAAAAAAAAAAQAAAQ.jpg,1,10,10
A_qQf9R5n-NaZuA4BJgsZMVwAAAQAAAQ.jpg,A_3muFRpfosX0AAAAAAAAAAAAAAQAAAQ.jpg,1,10,10
